name,ounces,good_flips,bad_flips
Kyle,2,1,9
Graham,2,2,8
Taylor,2,1,9
Laith,2,1,9
Lois,3,8,2
Aubrey,3,7,3
Marshall,3,6,4
Lois,3,9,1
Kaitlin,4,4,6
Prescott,4,5,5
Hedley,4,6,4
Graham,4,5,5
Nell,5,3,7
Laith,5,4,6
Aubrey,5,1,9
Taylor,5,3,7
Aubrey,6,8,2
Abraham,6,7,3
Laith,6,9,1
Nell,6,10,0
Kaitlin,7,6,4
Carla,7,10,0
Graham,7,1,9
Marshall,7,1,9
Hedley,8,7,3
Carla,8,6,4
Marshall,8,6,4
Taylor,8,2,8
Kyle,9,3,7
Hedley,9,6,4
Abraham,9,4,6
Hedley,9,8,2
Marshall,10,3,7
Taylor,10,10,0
Lois,10,6,4
Taylor,11,1,9
Aubrey,11,8,2
Nell,11,5,5
Graham,12,2,8
Nell,12,3,7
Jarrod,13,3,7
Aubrey,13,5,5
Nell,13,1,9
Justina,13,5,5
Abraham,14,2,8
Nell,14,6,4
Justina,15,10,0
